title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_architect_engineer
Architectural Engineer Intern,Startup Greece,"Tripoli, Peloponnese, Greece",6 months,"26 Feb, 2025","14 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Engineering and/or Technology",https://erasmusintern.org/traineeship/architectural-engineer-intern-11,1,"As an Architect Engineer Intern at a Startup Greece network member, you will play a pivotal role in assisting our construction and infrastructure projects. Your responsibilities will include collaborating with the engineering team on conceptual design, drafting plans and blueprints, conducting site visits, assisting in project management tasks, and contributing to the development and implementation of a building. Additionally, you will have the opportunity to engage in interdisciplinary collaboration with other teams within the organization, fostering a holistic approach to project execution. Key Responsibilities: Assist in conceptual design and development of construction projects. Draft plans, blueprints, and technical drawings using relevant software. Conduct site visits to assess project progress and ensure compliance with design specifications. Support project management tasks, including budget tracking and scheduling. Contribute to problem-solving efforts and provide technical input on engineering challenges. Collaborate with the engineering team to implement innovative solutions and best practices. Participate in interdisciplinary meetings to ensure alignment between engineering and other project aspects. Requirements: Academic background in Architecture or related fields. Excellent writing and communication abilities. Proficiency in AutoCAD, and/or google sketchup, Revit, or other relevant drafting software. Strong analytical and problem-solving skills. Good organizational skills and attention to detail. Ability to thrive in a dynamic and fast-paced environment. Performance Objectives: Assist in the successful execution of construction projects. Contribute to the development and implementation of innovative engineering solutions. Ensure adherence to project timelines and budget constraints. Collaborate effectively with cross-functional teams to achieve project objectives. Demonstrate continuous learning and improvement in engineering practices. Key Performance Indicators (KPIs): Timely completion of assigned engineering tasks and deliverables. Quality and accuracy of drafted plans and technical drawings. Effectiveness in problem-solving and providing technical input. Feedback and collaboration ratings from project team members. Implementation of innovative engineering solutions. Our Offer: Opportunities for hands-on experience in a real-world construction project. Work in a dynamic and collaborative team environment. Flexible schedule to accommodate academic commitments. Participation in startup events and networking opportunities. Regular feedback and mentorship from experienced professionals. Access to training and development programs to enhance technical skills. Opportunity for career advancement within the organization. ​ Organization Overview: Startup Greece is a non-profit organization dedicated to promoting, connecting, and advancing entrepreneurship for Greeks in the tech industry. Our mission is to bring the Greek Startup Ecosystem into the global spotlight and foster innovation for sustainable growth and prosperity. Startup Greece enables young interns coming from abroad to share their experience, enhancing cross-border networking and cooperation. See more about us at https://startup-greece.org/ or at SG Presentation . At SG we are proud to have Diversity and Inclusion at the center of everything we do. We are committed to Equal Employment Opportunity regardless of race, color, national origin, ethnicity, gender, age, disability, sexual orientation, gender identity or religion. For more information on SG, visit us at www.startup-greece.org . To keep up with SG news, follow us on LinkedIn , Instagram and Facebook ! Apply here: https://bit.ly/InternshipatSG",0.59411156
Architecture & Interior Design,Simone Caberti - Arquitectura & Design,"Porto, Portugal",4 months,"25 Feb, 2025","31 Mar, 2025","Architecture and/or Urban and Regional Planning, Art and Design, Communication and Information Sciences",https://erasmusintern.org/traineeship/architecture-interior-design-39,1,"We're seeking talented interns for our Porto office. We offer experience in all phases of architectural projects , from concept design through detailed construction documentation, as well as interior design and decoration . We also have an opening for a Communication and Social Media Management intern to enhance our online presence. Interested candidates should submit their Curriculum Vitae and Portfolio to s [email protected] . A guaranteed scholarship is required.",0.5256195
"Full Stack Developer (Early-Stage AI Startup, in Barcelona or Remote)",EasyMedAi,"Barcelona, Spain",3 months,"25 Feb, 2025","28 Mar, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/full-stack-developer-early-stage-ai-startup-barcelona-or-remote-17,2,"You can apply for this position year-round, as we are always looking for interns. Please disregard the dates that this website forces us to indicate. It is possible to do the internship while living in Barcelona , one of the coolest cities in the world , or 100% remotely . You can visit our website here . Your responsibilities: ​​Full-stack development, including the front-end UI/UX design and back-end architecture. Debugging, testing, and iterating the developed solutions. Maintenance and optimization of existing systems or processes. Development of technical documentation, including technical specifications. Support the team in various administrative tasks as needed. Participate in brainstorming sessions and contribute innovative ideas for product improvement or development. Your profile: Education at a university level in engineering and/or technology, mathematics and/or informatics, communication and information science, or a relevant technical area. A minimum of 4 semesters of university-level courses or equivalent other educational experience. A genuine interest in artificial intelligence startups. Experience with Python, Javascript, HTML, CSS, Docker, Git, AWS. Ability to set priorities and be dependable in delivering within a time frame. Ability to work independently as well as in a collaborative environment. Fluency in spoken and written English. Ability to adapt to the high-uncertainty environment and the limited means that characterize early-stage startups. What’s in it for you: An exciting experience in a fast-moving and fascinating industry. Our technology will shape the future of open source medical AI and could save countless lives in the coming years. Possibility to do the internship 100% remotely. Possibility to do the internship while living in Barcelona, one of the coolest cities in the world. EasyMedAi is in the very middle of the city center, with an excellent transport network around it. Possibility to get a recommendation letter and a LinkedIn professional recommendation . Possibility to get a full-time employment offer after the internship. To apply, interested candidates should: Fill out the form . Applicants that don’t will be excluded from the selection. Send your CV to [email protected] to be considered. Please note that as we receive a very high number of applications, we can only get back to successful applicants.",0.39434892
Assistant of director,Port Gallery,"Podhradí nad Dyjí, Czech Republic",3 months,"25 Feb, 2025","30 Apr, 2025","Art and Design, Communication and Information Sciences",https://erasmusintern.org/traineeship/assistant-director-3,2,"18 year-old Languages: English, Czech/Slovak Skills: Good communication skills Graphic design (basic) Experiences with social media Responsibilities: Managing exhibitions (Frejstejn, Zámek Uherceci) Communicating with artists Helping with organizing events (e.g., vernissages) Marketing, content creation (Instagram, Facebook), Website management Assisting with installation Administration work: Managing emails and correspondence Help with residence If you would like to work in an inspiring environment and be part of an artistic community, send your CV to [email protected]",0.35282922
Human Resources Intern,Startup Greece,"Tripoli, Peloponnese, Greece",6 months,"26 Feb, 2025","14 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Engineering and/or Technology",https://erasmusintern.org/traineeship/human-resources-intern-543,1,"Are you an HR enthusiast with a passion for finding and nurturing top talent? Join us at Startup Greece as an HR Manager and play a key role in shaping our dynamic workforce and optimizing HR processes. As the HR Manager, you'll be the captain of our recruitment ship, steering the process for volunteers and interns, while charting a course for a collaborative and growth-oriented work environment. Key Responsibilities: Talent Pathfinder: Lead the full recruitment process, from creating job descriptions to conducting interviews and handling contracts for volunteers and interns. Strategy Architect: Design and implement HR strategies that foster an inclusive and engaging workplace, guiding our team towards our shared mission and vision. Culture Builder: Envision and drive initiatives that enhance our HR practices, empowering individuals and nurturing a culture of continuous improvement. People Engagement Champion: Foster a positive and inclusive work culture, offering support and resources to our team members for their growth and well-being. Requirements: Academic knowledge on Human Resources Management, Recruiting, Psychology or on other relevant fields Good organizational skills Effective communication Proficient in problem solving Good knowledge of Microsoft Office (Word, PowerPoint, Excel) Expected Outcomes: Demonstrate excellent communication and organization skills in attracting and welcoming top talent to the Startup Greece crew. Successfully execute HR strategies that create a positive and collaborative work environment, aligning with our mission and vision. Ignite creativity and innovative ideas to streamline HR processes, cultivating an environment of learning and development. Nurture a harmonious and motivated work environment, where every team member feels valued and empowered. Organization Overview: Startup Greece is a non-profit organization dedicated to promoting, connecting, and advancing entrepreneurship for Greeks in the tech industry. Our mission is to bring the Greek Startup Ecosystem into the global spotlight and foster innovation for sustainable growth and prosperity. Startup Greece enables young interns coming from abroad to share their experience, enhancing cross-border networking and cooperation. See more about us at https://startup-greece.org/ or at SG Presentation . At SG we are proud to have Diversity and Inclusion at the center of everything we do. We are committed to Equal Employment Opportunity regardless of race, color, national origin, ethnicity, gender, age, disability, sexual orientation, gender identity or religion. For more information on SG, visit us at www.startup-greece.org . To keep up with SG news, follow us on LinkedIn , Instagram and Facebook !",0.30886212
Internship in BDS - Business Development & Sales,Janluca Andrei Maris,"Bacelona, Spain",6 months,"25 Feb, 2025","31 Mar, 2025","Business Studies and/or Management Science, Engineering and/or Technology, Natural Sciences",https://erasmusintern.org/traineeship/internship-bds-business-development-sales,2,"Proceedit is a software development company specializing in business process automation. We simplify your work by transforming your business, managing its complexity, and facilitating collaboration with your different stakeholders. As a result, by applying our BPaaS business model, we agile your operations, control your processes, and maximize your margins without requiring any investment. Our Marketing Unit is dedicated to driving our business growth by promoting our offerings through diverse marketplaces and a rich selling ecosystem. We're committed to expanding our reach and making an impact. Internship Details: As a Business Development and Sales Intern at Proceedit, you'll be an integral part of our Marketing Unit, working on a wide range of marketing, promotion, and sales activities, including branding and design, campaigns and promotions, partnerships and alliances, website management, marketplaces, distribution, and sales. Your responsibilities will include: Branding and Design: Assist in creating and maintaining brand assets, ensuring a consistent and appealing brand image. Campaigns and Promotions: Collaborate on marketing campaigns and promotions to drive product and service visibility. Partnerships and Alliances: Help identify and build strategic partnerships to expand our reach and customer base. Websites and Marketplaces: Contribute to the management and optimization of our websites and listings on various marketplaces. Distribution and Sales: Assist in sales and distribution strategies to increase product/service adoption. Qualifications: Pursuing or recently completed a degree in Marketing, Business, or a related field. A strong interest in business development and sales. Basic knowledge of marketing principles and tools. Excellent communication and interpersonal skills. Eagerness to learn and adapt to new marketing and sales strategies. Strong analytical and problem-solving abilities. What We Offer: A dynamic and collaborative work environment. Mentorship from experienced marketing and sales professionals. Hands-on experience in business development and sales. The opportunity to work on projects that have a real-world impact. Compatible with the participation as part of the Erasmus or a similar internship exchange program Possibility to develop the final course degree project for your academic institution as part of the internship period Compatible with the realization of your Master or PhD thesis Academic Certificate and Professional Working Certificate Recommendation Letter and LinkedIn Professional Recommendation",0.29324064
Erasmus+ Internships in Greece,Startup Greece,"Tripoli, Peloponnese, Greece",6 months,"26 Feb, 2025","14 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Engineering and/or Technology",https://erasmusintern.org/traineeship/erasmus-internships-greece-266,1,"Administrative Assistant : As an Administrative Assistant intern, you will be responsible for various administrative duties of our departments (office operations, handling general projects, etc.) Back-end Developer : As a Back-End Developer intern, you will define, implement, and manage both, internal and projects-facing systems. Junior Digital Marketing Manager : As a Digital Marketing intern, you will be responsible for the successful implementation of our digital marketing strategy (developing and implementing innovative digital marketing and sales plans, etc.) Junior HR Manager : As a Human Resources intern, you will be responsible for the comprehensive recruitment process of volunteers and other interns. Innovation Manager : As an Innovation Manager intern, you will play a pivotal role in driving creative ideation, fostering a culture of innovation, and managing projects to bring cutting-edge solutions to life. Journalist : As a Journalist intern, you will be responsible for presenting the text and video contents about startups’ news around the world on a regular basis. Junior Operations Manager : As a Junior Operations Manager intern, you will be responsible for bringing our vision into reality. Sales Development Representative (SDR) : As a Sales Development Representative intern, you will gain hands-on experience in prospecting, lead generation, and building crucial connections to support the growth of our sales pipeline. Social Media Manager: As a Social Media Manager intern, you will be responsible for managing our social media accounts, for creating original text and video content, managing posts, and responding to our followers.​ TikTok Content Creator : As the TikTok Content Creator, you will lead our TikTok account management, from content creation to audience engagement. Your innovative ideas and understanding of TikTok trends will not only grow our follower base but also forge a unique brand identity that stands out in the bustling digital landscape. Software Developer : As a Front-End Software Developer intern, you will be responsible for developing new user-facing features. React Developer Internship: As a Developer Intern you will play a crucial role in bridging the gap between photovoltaic technology and energy consumption tracking through the development of a cutting-edge mobile application. Video Producer : As a Video Producer intern, you will be responsible for creating and assembling together all our video content. Organization Overview: Startup Greece is a non-profit organization dedicated to promoting, connecting, and advancing entrepreneurship for Greeks in the tech industry. Our mission is to bring the Greek Startup Ecosystem into the global spotlight and foster innovation for sustainable growth and prosperity. Startup Greece enables young interns coming from abroad to share their experience, enhancing cross-border networking and cooperation. See more about us at https://startup-greece.org/ or at SG Presentation . At SG we are proud to have Diversity and Inclusion at the center of everything we do. We are committed to Equal Employment Opportunity regardless of race, color, national origin, ethnicity, gender, age, disability, sexual orientation, gender identity or religion. For more information on SG, visit us at www.startup-greece.org . To keep up with SG news, follow us on LinkedIn , Instagram and Facebook ! Apply here: https://bit.ly/InternshipatSG",0.28195095
Vacancy: Internship Catalyst Now local chapters,One Family Foundation,"Anywhere in the world, Netherlands",6 months,"27 Feb, 2025","16 Mar, 2025",Social Sciences,https://erasmusintern.org/traineeship/vacancy-internship-catalyst-now-local-chapters,1,"Would you like to be part of a global movement of changemakers?Catalyst Now is seeking an Intern Catalyst local chapters with a focus on Africa, Asia, Oceania, Europe, MENA, North America or Latam. Catalyst Now is a dynamic global movement of social innovators transforming systems and driving sustainable change to advance the UN Sustainable Development Goals worldwide. Our mission is to co-create spaces where the world’s social innovators connect, collaborate and contribute to transformational change. Our Vision for 2025- 2029 As we stand at the threshold of 2025, our world faces unprecedented challenges – a polycrisis that spans from climate change and conflicts to deep-rooted inequalities. Yet, in this landscape of complexity, we at Catalyst Now see immense opportunity to act differently and achieve the changes we stand for. Our journey, which began as a WhatsApp group of visionary social entrepreneurs, has evolved into a global movement of over 5,400 members representing more than 3,700 organizations across 144 countries. About the Ecosystem Development Team Catalyst Now offers the Intern the opportunity to work with colleagues from various countries, and to challenge themselves within the context of a vibrant and growing organisation. The ideal candidate has a background in international relations / affairs, international law, international development, social sciences or similar. The Ecosystem Development Team of Catalyst Now works with the different members of the network in supporting them with their initiatives in the different countries and regions all around the world. We are currently looking for a coordinator that can support the local activities in south and central Asia. The coordinator will be working closely with the Asia Pacific coordinator and with the whole Ecosystem Development Team and the other departments in the secretariat. Responsibilities Support the regional coordinator in a particular region (Latam, Europe, MENA, Africa, Asia, North America or Oceania) in the implementation of the activities of local chapters of Catalyst Now. Support the regional coordinator with the research and mapping of the ecosystem of Social entrepreneurs in the different countries in the region. Support in the design and implementation of strategies to engage members in the region. Support the implementation of communication strategies and social media campaigns for the region. Drive data analysis of the membership and engagement Support with the multilingual aspect of Catalyst Now, helping with translation when needed. Support the review of applications for membership in the region. Support to specific secretariat tasks and membership department requests. Research of potential funding opportunities for the local activities. Any other ad hoc tasks as needed Requirements and Skills Proven organisational skills and the ability to work independently, as well as within a team, in a fast-paced environment and across time zones An active interest in global issues and challenges, their complexity and nuances Preference for graduate degree completion Excellent verbal and written communication skills Attention to detail and willingness to learn from experience Desire to work collaboratively in a team, with a hands-on, positive attitude and ability to rise to challenges Fluency in English, and preferably another UN language Ability to work in a multicultural and global digital environment, with cultural sensitivity Flexibility and the ability to easily adapt to new tasks and assignments that might be given at short notice Our Offer The opportunity to work with a young and dynamic team in a fast-paced global environment, on-the-job training opportunities and experience within an international NGO The ability to coordinate personal projects to improve the work of the organisation Six month internship contract, preference for full time, but some part-time opportunities available for the right candidate Good working atmosphere with a small and dedicated team An opportunity to work with the world’s most prestigious social entrepreneurs and innovators. Working in a dynamic network of almost 4,000 organisations across the globe including Skoll Foundation, Ashoka, Schwab Foundation and Echoing Green Internship Start Date April 01 2025, for six months Location After COVID, we adopted a distributed organisational model with the ability to hire a diverse team. This position is remote and can be carried out from most regions that have some overlap with CEST working hours (minimum of 4 hours per day with CEST). Deadline March 16th, 2025 How to ApplyTo apply, please fill out this application form by 16-03-2025",0.26021367
Erasmus Internship digital Marketing,Animafest Experience,"Palafolls, Spain",3 months,"25 Feb, 2025","3 Mar, 2025","Business Studies and/or Management Science, Humanities, Languages and Philological Sciences",https://erasmusintern.org/traineeship/erasmus-internship-digital-marketing-4,2,"✅ Develop and manage link-building and content marketing strategies ✅ Innovate and introduce new marketing platforms and campaigns ✅ Blog Management – create and update engaging international content ✅ Social Media Marketing – promote the organization through various platforms ✅ Prospecting & Outreach – design marketing materials and manage email campaigns ✅ Communicate with clients via WhatsApp, follow-up calls, and emails ✅ Assist with student documentation and database management ✅ Optimize content for Search Engine Optimization (SEO) ✅ Create and send group messages and broadcasts Why Join? ✔ Gain experience in digital marketing ✔ Enhance your SEO, content creation, and social media management skills ✔ Work in an international and dynamic environment ✔ Boost your resume with marketing experience Accommodation finding assistance provided to help with your stay in Spain! Ready to start your marketing career in Spain? Write us message today",0.2566174
Internship in SCM - Social media & Community Management,Janluca Andrei Maris,"Bacelona, Spain",6 months,"25 Feb, 2025","31 Mar, 2025","Art and Design, Business Studies and/or Management Science, Social Sciences",https://erasmusintern.org/traineeship/internship-scm-social-media-community-management,2,"Proceedit is a software development company specializing in business process automation. We simplify your work by transforming your business, managing its complexity, and facilitating collaboration with your different stakeholders. As a result, by applying our BPaaS business model, we agile your operations, control your processes, and maximize your margins without requiring any investment. Our Community Unit is committed to serving a diverse range of stakeholders, including investors, users, business partners, freelancers, interns, thesis-doers, trainees, and staff. We are passionate about fostering an engaged and active community. Internship Details: As a Social Media and Community Management Intern at Proceedit, you'll be an integral part of our Community Unit, working on various aspects of social media and community engagement. Your responsibilities will include working with knowledge and insights, news and media, events and promotions, and, most importantly, recruiting, supervision, and activation of community members.Your responsibilities will include: Knowledge and Insights: Assist in gathering and analyzing data to gain insights into community needs and preferences. News and Media: Create and curate content for social media and community platforms to keep stakeholders informed. Events and Promotion: Collaborate on organizing events and promotional activities to engage the community. Recruiting and Supervision: Help with recruiting new community members and supervising community engagement. Activation: Drive activation and participation within the community by fostering a sense of belonging. Qualifications: Pursuing or recently completed a degree in Marketing, Communications, or a related field. A strong interest in social media, community engagement, and relationship management. Basic knowledge of social media platforms and community management tools. Excellent communication and interpersonal skills. Proactive and creative problem-solving abilities. Eagerness to learn and adapt to new social media trends and community-building strategies. What We Offer: A dynamic and creative work environment. Mentorship from experienced professionals in social media and community management. Hands-on experience in building and nurturing online communities. The opportunity to work on projects that have a real-world impact. Compatible with the participation as part of the Erasmus or a similar internship exchange program Possibility to develop the final course degree project for your academic institution as part of the internship period Compatible with the realization of your Master or PhD thesis Academic Certificate and Professional Working Certificate Recommendation Letter and LinkedIn Professional Recommendation",0.24524519
