title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_AI_engineering,match_probability_full_stack_development,match_probability_software_engineer,match_probability_software_developer,average_match_probability
"Full Stack Developer (Early-Stage AI Startup, in Barcelona or Remote)",EasyMedAi,"Barcelona, Spain",3 months,"25 Feb, 2025","28 Mar, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/full-stack-developer-early-stage-ai-startup-barcelona-or-remote-17,3,"You can apply for this position year-round, as we are always looking for interns. Please disregard the dates that this website forces us to indicate. It is possible to do the internship while living in Barcelona , one of the coolest cities in the world , or 100% remotely . You can visit our website here . Your responsibilities: ​​Full-stack development, including the front-end UI/UX design and back-end architecture. Debugging, testing, and iterating the developed solutions. Maintenance and optimization of existing systems or processes. Development of technical documentation, including technical specifications. Support the team in various administrative tasks as needed. Participate in brainstorming sessions and contribute innovative ideas for product improvement or development. Your profile: Education at a university level in engineering and/or technology, mathematics and/or informatics, communication and information science, or a relevant technical area. A minimum of 4 semesters of university-level courses or equivalent other educational experience. A genuine interest in artificial intelligence startups. Experience with Python, Javascript, HTML, CSS, Docker, Git, AWS. Ability to set priorities and be dependable in delivering within a time frame. Ability to work independently as well as in a collaborative environment. Fluency in spoken and written English. Ability to adapt to the high-uncertainty environment and the limited means that characterize early-stage startups. What’s in it for you: An exciting experience in a fast-moving and fascinating industry. Our technology will shape the future of open source medical AI and could save countless lives in the coming years. Possibility to do the internship 100% remotely. Possibility to do the internship while living in Barcelona, one of the coolest cities in the world. EasyMedAi is in the very middle of the city center, with an excellent transport network around it. Possibility to get a recommendation letter and a LinkedIn professional recommendation . Possibility to get a full-time employment offer after the internship. To apply, interested candidates should: Fill out the form . Applicants that don’t will be excluded from the selection. Send your CV to [email protected] to be considered. Please note that as we receive a very high number of applications, we can only get back to successful applicants.",0.46942118,0.5360334,0.4405251,0.47890684,0.48122162
"Full Stack Developer (Early-Stage AI Startup, in Barcelona or Remote)",EasyMedAi,"Barcelona, Spain",3 months,"1 Jan, 2025","28 Feb, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/full-stack-developer-early-stage-ai-startup-barcelona-or-remote-15,22,"You can apply for this position year-round, as we are always looking for interns. Please disregard the dates that this website forces us to indicate. It is possible to do the internship while living in Barcelona , one of the coolest cities in the world , or 100% remotely . You can visit our website here . Your responsibilities: ​​Full-stack development, including the front-end UI/UX design and back-end architecture. Debugging, testing, and iterating the developed solutions. Maintenance and optimization of existing systems or processes. Development of technical documentation, including technical specifications. Support the team in various administrative tasks as needed. Participate in brainstorming sessions and contribute innovative ideas for product improvement or development. Your profile: Education at a university level in engineering and/or technology, mathematics and/or informatics, communication and information science, or a relevant technical area. A minimum of 4 semesters of university-level courses or equivalent other educational experience. A genuine interest in artificial intelligence startups. Experience with Python, Javascript, HTML, CSS, Docker, Git, AWS. Ability to set priorities and be dependable in delivering within a time frame. Ability to work independently as well as in a collaborative environment. Fluency in spoken and written English. Ability to adapt to the high-uncertainty environment and the limited means that characterize early-stage startups. What’s in it for you: An exciting experience in a fast-moving and fascinating industry. Our technology will shape the future of open source medical AI and could save countless lives in the coming years. Possibility to do the internship 100% remotely. Possibility to do the internship while living in Barcelona, one of the coolest cities in the world. EasyMedAi is in the very middle of the city center, with an excellent transport network around it. Possibility to get a recommendation letter and a LinkedIn professional recommendation . Possibility to get a full-time employment offer after the internship. To apply, interested candidates should: Fill out the form . Applicants that don’t will be excluded from the selection. Send your CV to [email protected] to be considered. Please note that as we receive a very high number of applications, we can only get back to successful applicants.",0.46942118,0.5360334,0.4405251,0.47890684,0.48122162
"Full Stack Developer (Early-Stage AI Startup, in Barcelona or Remote)",EasyMedAi,"Barcelona, Spain",3 months,"10 Jan, 2025","28 Mar, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/full-stack-developer-early-stage-ai-startup-barcelona-or-remote-16,20,"You can apply for this position year-round, as we are always looking for interns. Please disregard the dates that this website forces us to indicate. It is possible to do the internship while living in Barcelona , one of the coolest cities in the world , or 100% remotely . You can visit our website here . Your responsibilities: ​​Full-stack development, including the front-end UI/UX design and back-end architecture. Debugging, testing, and iterating the developed solutions. Maintenance and optimization of existing systems or processes. Development of technical documentation, including technical specifications. Support the team in various administrative tasks as needed. Participate in brainstorming sessions and contribute innovative ideas for product improvement or development. Your profile: Education at a university level in engineering and/or technology, mathematics and/or informatics, communication and information science, or a relevant technical area. A minimum of 4 semesters of university-level courses or equivalent other educational experience. A genuine interest in artificial intelligence startups. Experience with Python, Javascript, HTML, CSS, Docker, Git, AWS. Ability to set priorities and be dependable in delivering within a time frame. Ability to work independently as well as in a collaborative environment. Fluency in spoken and written English. Ability to adapt to the high-uncertainty environment and the limited means that characterize early-stage startups. What’s in it for you: An exciting experience in a fast-moving and fascinating industry. Our technology will shape the future of open source medical AI and could save countless lives in the coming years. Possibility to do the internship 100% remotely. Possibility to do the internship while living in Barcelona, one of the coolest cities in the world. EasyMedAi is in the very middle of the city center, with an excellent transport network around it. Possibility to get a recommendation letter and a LinkedIn professional recommendation . Possibility to get a full-time employment offer after the internship. To apply, interested candidates should: Fill out the form . Applicants that don’t will be excluded from the selection. Send your CV to [email protected] to be considered. Please note that as we receive a very high number of applications, we can only get back to successful applicants.",0.46942118,0.5360334,0.4405251,0.47890684,0.48122162
Computer Science/Programming/Web Development,AppetizerGo,"Granada, Spain",4 months,"17 Feb, 2025","31 Mar, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/computer-scienceprogrammingweb-development,9,"Assist in developing, testing, and maintaining web and mobile applications. Collaborate with the development team to design and implement new features. Write clean, efficient, and well-documented code using programming languages such as ( e.g., ""JavaScript, Python, PHP, or Java""). Work with front-end technologies like HTML, CSS, and JavaScript frameworks (e.g., React, Angular, or Vue.js). Gain experience with back-end development using frameworks like Node.js, Django, or Laravel. Participate in database design and management (e.g., MySQL, MongoDB, or PostgreSQL). Debug and troubleshoot issues to ensure optimal performance and user experience. Learn about version control systems like Git and collaborative tools like Jira or Trello. Contribute to the development of APIs and integration with third-party services. Stay up-to-date with the latest trends and technologies in software development. What We Offer Hands-on experience in a fast-paced and innovative tech environment. Mentorship from experienced developers and engineers. Opportunity to work on real-world projects and build your portfolio. Flexible working hours and the possibility of remote work. Access to modern development tools and technologies. A certificate of completion and a letter of recommendation upon successful internship. Requirements Currently enrolled in or recently graduated from a Bachelor’s or Master’s program in Computer Science, Software Engineering, Web Development, or a related field. Strong interest in programming and web development. Basic knowledge of programming languages such as (e.g., ""JavaScript, Python, or PHP""). Familiarity with front-end and/or back-end development frameworks. Understanding of database concepts and SQL. Problem-solving skills and a proactive attitude. Ability to work independently and as part of a team. A portfolio or examples of previous projects (if available). How to Apply If you’re excited about this opportunity, please send your application to [insert email address] with the subject line “Web Development Intern Application – [Your Name]” . Your application should include: A brief cover letter explaining why you’re interested in this internship. Your CV or resume. A portfolio or examples of your previous work (e.g., GitHub repositories, projects, or code samples). Please apply to [email protected] We look forward to hearing from you!",0.24767284,0.38376692,0.4752466,0.55753094,0.4160543
Computer Vision/Backend Developer,Breathment,"München, Germany",6 months,"22 May, 2024","16 Jun, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/computer-visionbackend-developer,39,full-time for six months (40h/week) Location: Munich/Remote,0.39054865,0.29100084,0.49155253,0.4910615,0.4160409
Front End Developer in a Startup Proptech (Smart City- Real Estate),Colouree,"Genova, Italy",12 months,"11 Sep, 2021","1 May, 2025",Engineering and/or Technology,https://erasmusintern.org/traineeship/front-end-developer-startup-proptech-smart-city-real-estate,74,"-Develop and implement the latest technologies; -Follow the design phases related to UX; -Be in close contact with the whole team and functions; Skills required: Knowledge of programming languages ​​HTML, JAVASCRIPT, CSS (Bulma, Bootstrap) Knowledge of a Javascript framework, such as Angular, VueJS, React, jQuery; Knowledge of specific tools: Leaflet.JS, Mapbox.Js Knowledge of Wordpress Attention to the Graphic Design; Attention to the User Experience; It will represent an added value to have created dynamic interfaces for web / mobile applications. Other attitudes that will be taken into consideration Ability to work in a team. Problem solving propensity Proactivity and ability to document and propose solutions independently. Attention to the quality level of the result. Ability to receive and process feedback from customers or internal divisions. English knowledge",0.35510164,0.3170194,0.46894452,0.49846074,0.4098816
Field Application Engineer Intern,Latticework BV,"Eindhoven, Netherlands",6 months,"19 Aug, 2020","3 Mar, 2025",Communication and Information Sciences,https://erasmusintern.org/traineeship/field-application-engineer-intern,77,"Provide technical service to customers. Maintain and improve the website managed by Odoo Entreprise. Develop new features that users care about. Analyze challenges and estimate customer requirements gathered by our business analysts. Define features scope, bring real value to the product Qualifications: Bachelor or master’s degree in computer science Experience or knowledge in software development; Python programming. Experience of knowledge in Linux, Docker, HTML, CSS, JS Editor. Knowledge of the main standard Odoo modules is a plus Interest in computer data structures Open-minded, curious, and assertive",0.3262095,0.3166819,0.4771162,0.42646948,0.38661927
3D DESIGNER,ARCHITECTURAL SPIES  EOOD,"Varna, Bulgaria",3 months,"9 Feb, 2025","30 Apr, 2025","Architecture and/or Urban and Regional Planning, Art and Design, Engineering and/or Technology",https://erasmusintern.org/traineeship/3d-designer-0,12,"We are seeking for a 3D designer, skilled in any  software for industrial design (e.g. BLENDER, RHINO, etc.), or in architectural software (e.g. REVIT), for preparing 3D models for  importing into the game engine UNITY. The applicant should be ready to learn in our studio UNITY for producing AR applications. The period of intrenship is flexible, but we prefer a lomger period.",0.39056107,0.21834928,0.4757551,0.44533968,0.38250127
Full stack developer eHealth applications,nubedian GmbH,Germany,6 months,"13 Nov, 2023","28 Feb, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/full-stack-developer-ehealth-applications,50,"Design and development of web and mobile applications programming languages: Java, Rust, TypeScript. tech stack: Kubernetes Node.js- frameworks: React Continuous integration Unit Test, Integration Test, Regression Test Work in an agile team Our Offer: Agile environment with streamlined process flows and quick decisions An interdisciplinary environment with partners from science, industry and users Friendly working atmosphere with a young, international and dynamic team A modern workplace or remote position Space for your own ideas Salary Interested? We are looking forward to meeting you!",0.2730558,0.41296923,0.41102266,0.43163863,0.38217157
Web programmer,Namiti srl,"Piano di Sorrento, Italy",3 months,"27 Feb, 2024","31 Mar, 2025","Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/web-programmer-2,44,"degree in computer science minimum 1 year of experience in a similar position a deep knowledge of Web Servers, PHP, javascript, HTML, Css, mysql languages knowledge of the main e-commerce platforms, such as Magento Namiti srl",0.28847504,0.2526628,0.5090459,0.47676647,0.38173756
